date,category,subcategory,amount,unit,notes
2026-01-05,Energy,Reactor Loop,42000,kWh,Primary reactor cooling loop consumption
2026-01-05,Energy,HVAC Systems,18500,kWh,Building climate control across plant
2026-01-08,Energy,Pump Stations,9200,kWh,6 main process pumps running at 80% load
2026-01-10,Maintenance,Heat Exchangers,15800,EUR,Scheduled tube bundle inspection HX-101
2026-01-12,Energy,Compressors,11400,kWh,3 compressor units running continuously
2026-01-15,Maintenance,Valve Actuators,4200,EUR,Replaced 8 pneumatic actuators
2026-01-18,Energy,Reactor Loop,43500,kWh,Slight increase due to ambient temperature
2026-01-20,Maintenance,Pump Stations,6800,EUR,Replaced seals on P-201 and P-202
2026-01-22,Energy,HVAC Systems,19200,kWh,Cold snap increased heating demand
2026-01-25,Maintenance,Instrumentation,3100,EUR,Calibrated 24 pressure transmitters
2026-01-28,Energy,Compressors,12000,kWh,Peak load week
2026-02-03,Energy,Reactor Loop,41200,kWh,Optimised flow rate reduced consumption
2026-02-05,Maintenance,Heat Exchangers,8500,EUR,Chemical cleaning HX-102 and HX-103
2026-02-07,Energy,Pump Stations,8900,kWh,One pump offline for maintenance
2026-02-10,Maintenance,Control Systems,12400,EUR,PLC firmware updates across all PLCs
2026-02-12,Energy,HVAC Systems,17800,kWh,Milder weather reduces HVAC load
2026-02-14,Energy,Compressors,10800,kWh,Reduced demand due to planned shutdown
2026-02-18,Maintenance,Pump Stations,9200,EUR,Full overhaul of P-301 centrifugal pump
2026-02-20,Energy,Reactor Loop,44100,kWh,Increased throughput during test run
2026-02-22,Maintenance,Valve Actuators,2800,EUR,Routine lubrication and inspection
2026-02-25,Energy,HVAC Systems,16500,kWh,Energy efficiency improvements applied
2026-03-02,Energy,Reactor Loop,40800,kWh,New flow optimisation algorithm deployed
2026-03-05,Maintenance,Heat Exchangers,22000,EUR,Major overhaul HX-101 - full bundle replacement
2026-03-08,Energy,Pump Stations,9600,kWh,All pumps back online
2026-03-10,Maintenance,Instrumentation,5400,EUR,Replaced 12 temperature sensors
2026-03-12,Energy,Compressors,11200,kWh,Stable load week
2026-03-14,Energy,HVAC Systems,15900,kWh,Spring temperatures reduce heating demand
2026-03-16,Maintenance,Control Systems,7800,EUR,SCADA system upgrade - new dashboards
2026-03-18,Energy,Reactor Loop,41500,kWh,Consistent performance
2026-03-20,Maintenance,Pump Stations,4100,EUR,Bearing replacement P-101
2026-03-22,Energy,Compressors,10500,kWh,Efficiency gains from maintenance
2026-03-24,Maintenance,Valve Actuators,6200,EUR,Emergency replacement CV-204 control valve
2026-03-26,Energy,HVAC Systems,14800,kWh,Lowest consumption this quarter
2026-03-28,Maintenance,Instrumentation,4800,EUR,Annual calibration batch complete
